Price,Close,High,Low,Open,Volume
Ticker,SPY,SPY,SPY,SPY,SPY
Date,,,,,
1993-01-29,24.24140167236328,24.258643067578333,24.13795330107297,24.258643067578333,1003200
1993-02-01,24.413822174072266,24.413822174072266,24.258649575508247,24.258649575508247,480500
1993-02-02,24.465553283691406,24.48279468840155,24.344863450720414,24.39658766485084,201300
1993-02-03,24.724178314208984,24.74141972168054,24.482798609607222,24.500040017078778,529400
1993-02-04,24.827606201171875,24.87933038075765,24.534502516852488,24.81036480797662,531500
1993-02-05,24.81036949157715,24.862093680927202,24.672438319976997,24.81036949157715,492100
1993-02-08,24.81036949157715,24.896576473827242,24.77588669867711,24.81036949157715,596100
1993-02-09,24.63796043395996,24.724167433378994,24.58623623430854,24.724167433378994,122100
1993-02-10,24.672439575195312,24.689680972522492,24.56899119123223,24.63795678054095,379600
1993-02-11,24.793127059936523,24.896575434317345,24.706920081285844,24.706920081285844,19500
1993-02-12,24.603469848632812,24.758642398484035,24.603469848632812,24.758642398484035,42500
1993-02-16,23.982776641845703,24.534501194354014,23.94829385731393,24.534501194354014,374800
1993-02-17,23.965545654296875,24.017269853550754,23.879338655540412,23.98278705404817,210900
1993-02-18,23.94830322265625,24.241407005798912,23.620716641496806,24.241407005798912,378100
1993-02-19,24.03451156616211,24.03451156616211,23.913821766332028,23.94830456628348,34900
1993-02-22,24.120708465576172,24.155191251088077,24.034501501796417,24.103467072820223,513600
1993-02-23,24.103477478027344,24.20692587922059,23.982787676635215,24.189684479021718,373700
1993-02-24,24.413822174072266,24.413822174072266,24.120718376784676,24.120718376784676,26300
1993-02-25,24.465553283691406,24.48279468840155,24.344863450720414,24.39658766485084,44500
1993-02-26,24.500022888183594,24.517264283601037,24.379333120261506,24.517264283601037,66200
1993-03-01,24.431062698364258,24.586235291367277,24.396579899919143,24.586235291367277,66500
1993-03-02,24.793127059936523,24.793127059936527,24.413816353873518,24.44829914533379,182400
1993-03-03,24.89659881591797,24.91384022784035,24.793150344383683,24.827633168228445,280100
1993-03-04,24.758642196655273,24.931056139528916,24.758642196655273,24.931056139528916,89500
1993-03-05,24.689685821533203,24.896582630093537,24.672444420819843,24.793134225813372,40000
1993-03-08,25.241422653198242,25.241422653198242,24.74142179463079,24.74142179463079,50800
1993-03-09,25.15519142150879,25.20691559852354,25.103467244494034,25.18967420618529,169300
1993-03-10,25.2069149017334,25.2069149017334,25.051742374978545,25.155190726148447,194400
1993-03-11,25.137928009033203,25.293100404150696,25.10344525456265,25.224134895209588,70900
1993-03-12,24.87934112548828,24.94830672805374,24.724168519716006,24.931065327412377,643600
1993-03-15,25.00002098083496,25.00002098083496,24.862089830595874,24.862089830595874,310800
1993-03-16,25.00002098083496,25.068986555954506,25.00002098083496,25.00002098083496,30800
1993-03-17,24.8448486328125,24.965538390223802,24.810365844980698,24.965538390223802,21800
1993-03-18,25.00002098083496,25.10346934351428,24.948296799495303,24.948296799495303,59300
1993-03-19,24.962186813354492,25.100769391083038,24.962186813354492,25.100769391083038,66900
1993-03-22,24.823617935180664,24.875586430509024,24.70235811274782,24.71968094452394,183400
1993-03-23,24.875574111938477,24.910219758333934,24.84092846554302,24.892896935136207,55200
1993-03-24,24.875574111938477,24.97951105112485,24.719668703158916,24.84092846554302,37200
1993-03-25,25.031494140625,25.083462640570936,24.858265807471884,24.892911474102508,110100
1993-03-26,24.892902374267578,25.031484990129886,24.87557954728479,25.0141621631471,101500
1993-03-29,24.996849060058594,25.118108896108772,24.91023489145132,24.91023489145132,87100
1993-03-30,25.066129684448242,25.066129684448242,24.996838379169876,25.031484031809057,56000
1993-03-31,25.04880714416504,25.204712582821667,25.048807144165036,25.13542127675205,111600
1993-04-01,24.962186813354492,25.083446568866968,24.910218346706287,25.083446568866968,129500
1993-04-02,24.442506790161133,24.75431764928438,24.442506790161133,24.75431764928438,59400
1993-04-05,24.56376838684082,24.63305969399693,24.494477079684714,24.63305969399693,172200
1993-04-06,24.494470596313477,24.61573035174077,24.425179307497878,24.61573035174077,129700
1993-04-07,24.581106185913086,24.58110618591309,24.477169161871174,24.52913767389213,28000
1993-04-08,24.54644775390625,24.685030380604378,24.44251078388265,24.685030380604378,180800
1993-04-12,24.892902374267578,24.910225201250366,24.754319758405266,24.788965412370843,348500
1993-04-13,24.94486427307129,25.031478385130566,24.858250161012013,24.87557298342387,146100
1993-04-14,24.91023063659668,24.97952195964702,24.892907805834096,24.962199128884436,119600
1993-04-15,24.91023063659668,24.962199128884436,24.80629365202117,24.892907805834096,148600
1993-04-16,24.91023063659668,24.962199128884436,24.87558497507151,24.927553467359264,47900
1993-04-19,24.80628776550293,24.979516032021802,24.78896493885104,24.910224725414253,157000
1993-04-20,24.68501853942871,24.806278279622397,24.52911315917969,24.77163263956706,279500
1993-04-21,24.667701721191406,24.736993018161048,24.59841042422177,24.736993018161048,67900
1993-04-22,24.355886459350586,24.77163416562684,24.355886459350586,24.56376031248871,97700
1993-04-23,24.251956939697266,24.37321672439575,24.217311286926268,24.30392541885376,106000
1993-04-26,24.061405181884766,24.355893222267802,23.992113878265226,24.26927909274338,62600
1993-04-27,24.321250915527344,24.321250915527344,24.02676283464133,24.02676283464133,156800
1993-04-28,24.26927375793457,24.338565046322675,24.234628113740513,24.286596580031595,85900
1993-04-29,24.373228073120117,24.373228073120117,24.182676894154714,24.321259569765918,85000
1993-04-30,24.407865524291992,24.54644815324468,24.407865524291992,24.45983401014925,88500
1993-05-03,24.56376838684082,24.56376838684082,24.338571638583467,24.44250859931763,80500
1993-05-04,24.65038299560547,24.73699713121898,24.58109168711466,24.615737341360067,149100
1993-05-05,24.71967315673828,24.806287288331617,24.650381851463614,24.650381851463614,109000
1993-05-06,24.63306427001953,24.702355590047716,24.615741440012485,24.68503276004067,54700
1993-05-07,24.581106185913086,24.650397535274365,24.54646051123245,24.650397535274365,68000
1993-05-10,24.63306427001953,24.771646910075898,24.615741440012485,24.615741440012485,113900
1993-05-11,24.736997604370117,24.73699760437012,24.56376932982971,24.633060639645876,42600
1993-05-12,24.70235252380371,24.719675351660513,24.63306121237649,24.63306121237649,31000
1993-05-13,24.407865524291992,24.598416639101938,24.390542695672906,24.598416639101938,129100
1993-05-14,24.390539169311523,24.477153299884364,24.373216343196958,24.407861995426092,63500
1993-05-17,24.477155685424805,24.477155685424805,24.355895890804867,24.459832857621958,34000
1993-05-18,24.459821701049805,24.511790160754583,24.373207601541836,24.49446734085299,105200
1993-05-19,24.962186813354492,24.962186813354492,24.303919569143893,24.45982496908851,50200
1993-05-20,25.031494140625,25.031494140625,24.91023430741782,24.962202807363756,98200
1993-05-21,24.80628776550293,25.08345299193313,24.78896493885104,25.048807338629352,221400
1993-05-24,24.91023063659668,24.996844790409604,24.858262144308927,24.858262144308927,30500
1993-05-25,24.962186813354492,25.014155280002697,24.962186813354492,25.014155280002697,191800
1993-05-26,25.273990631103516,25.29131344853402,25.014148369645973,25.031471187076477,102400
1993-05-27,25.187376022338867,25.308635741841186,25.152730388195344,25.308635741841186,53800
1993-05-28,25.066129684448242,25.170066642365786,24.944869900211103,25.170066642365786,79100
1993-06-01,25.308658599853516,25.3952727634396,25.118107439964135,25.152753105398567,28300
1993-06-02,25.273990631103516,25.36060471825603,25.135408091659492,25.23934499624251,20300
1993-06-03,25.187376022338867,25.222021656482386,25.135407571123586,25.222021656482386,21600
1993-06-04,25.10076904296875,25.118091864944574,24.996832111113807,25.118091864944574,32000
1993-06-07,25.01417350769043,25.152756186403394,25.01417350769043,25.152756186403394,121400
1993-06-08,24.78896141052246,24.944866828198705,24.78896141052246,24.944866828198705,104500
1993-06-09,24.875574111938477,24.97951105112485,24.84092846554302,24.875574111938477,43300
1993-06-10,24.892902374267578,24.910225201250366,24.806288239353634,24.858256720302,17900
1993-06-11,24.996849060058594,25.031494727501503,24.892912057729866,24.97952622633714,647400
1993-06-14,24.962186813354492,25.048800924434833,24.962186813354492,25.031478102218763,64200
1993-06-15,24.91023063659668,25.014167621172188,24.91023063659668,24.996844790409604,142400
1993-06-16,24.962186813354492,24.962186813354492,24.840927057842013,24.910218346706287,330900
1993-06-17,25.04880714416504,25.048807144165036,24.96219301157802,25.01416149113023,37400
1993-06-18,24.842527389526367,25.03442893537243,24.842527389526367,25.03442893537243,58500
1993-06-21,24.894865036010742,24.9123106316912,24.859973844649833,24.9123106316912,29300
1993-06-22,24.91231346130371,24.92975905896569,24.877422265979757,24.92975905896569,137500
1993-06-23,24.685522079467773,24.912314861823308,24.685522079467773,24.912314861823308,227600
1993-06-24,25.016998291015625,25.016998291015625,24.75531420847362,24.75531420847362,243700
1993-06-25,24.99954605102539,25.06932845451744,24.98210045015238,24.999546051025394,44800
1993-06-28,25.27866554260254,25.27866554260254,25.086764009842963,25.12165519761743,439900
1993-06-29,25.15656089782715,25.243788917583828,25.121669689924474,25.243788917583828,207500
1993-06-30,25.15656089782715,25.243788917583828,25.121669689924474,25.19145210572982,437600
1993-07-01,25.086776733398438,25.191450349810392,25.051885527927787,25.191450349810392,605700
1993-07-02,24.94720458984375,25.01698698030485,24.85997660176737,24.999541382689575,285400
1993-07-06,24.685522079467773,24.98209725639424,24.650630882182305,24.912314861823308,246400
1993-07-07,24.75531578063965,24.79020699386113,24.66808774758595,24.66808774758595,343700
1993-07-08,25.034433364868164,25.086770159359176,24.737858196085753,24.772749392413097,248200
1993-07-09,25.104217529296875,25.10421752929687,24.9820983335324,25.034435131717174,378200
1993-07-12,25.086776733398438,25.104222336133763,25.03443992519246,25.069331130663112,373700
1993-07-13,25.06932258605957,25.173996166794684,24.92975781174609,25.10421377963794,389600
1993-07-14,25.15656089782715,25.226343313632494,25.069332878070465,25.086778482021803,617300
1993-07-15,25.0518741607666,25.13910213486398,24.999537376308176,25.13910213486398,443800
1993-07-16,24.982093811035156,25.086767388455694,24.947202618561644,25.069321792218936,216400
1993-07-19,24.964645385742188,24.982090980001967,24.894863008703076,24.982090980001967,188200
1993-07-20,25.034433364868164,25.034433364868164,24.82508618690411,24.94720537404981,68500
1993-07-21,25.016998291015625,25.016998291015625,24.929770263501624,24.999552685512825,142700
1993-07-22,24.842527389526367,25.016983340295514,24.842527389526367,24.982092150141682,632400
1993-07-23,24.964645385742188,24.964645385742188,24.877417414443297,24.894863008703076,286200
1993-07-26,25.104217529296875,25.156554327481647,25.034435131717174,25.034435131717174,121300
1993-07-27,25.086776733398438,25.139113541604413,24.99954871972181,25.121667938869088,92800
1993-07-28,25.034433364868164,25.086770159359176,24.99954216854082,25.034433364868164,30800
1993-07-29,25.17400360107422,25.243786008838804,25.051884387486194,25.086775591368486,331000
